Observation station;Year;Month;Day;Time [Local time];Global radiation mean [W/m2]
Vantaa Helsinki-Vantaa airport;2004;1;1;00:00;14
Vantaa Helsinki-Vantaa airport;2004;1;2;00:00;14,2
Vantaa Helsinki-Vantaa airport;2004;1;3;00:00;11
Vantaa Helsinki-Vantaa airport;2004;1;4;00:00;5,2
Vantaa Helsinki-Vantaa airport;2004;1;5;00:00;6,1
Vantaa Helsinki-Vantaa airport;2004;1;6;00:00;4,6
Vantaa Helsinki-Vantaa airport;2004;1;7;00:00;3,9
Vantaa Helsinki-Vantaa airport;2004;1;8;00:00;3
Vantaa Helsinki-Vantaa airport;2004;1;9;00:00;4,6
Vantaa Helsinki-Vantaa airport;2004;1;10;00:00;6,2
Vantaa Helsinki-Vantaa airport;2004;1;11;00:00;3,2
Vantaa Helsinki-Vantaa airport;2004;1;12;00:00;3,3
Vantaa Helsinki-Vantaa airport;2004;1;13;00:00;3,4
Vantaa Helsinki-Vantaa airport;2004;1;14;00:00;4,1
Vantaa Helsinki-Vantaa airport;2004;1;15;00:00;8,9
Vantaa Helsinki-Vantaa airport;2004;1;16;00:00;12,8
Vantaa Helsinki-Vantaa airport;2004;1;17;00:00;4,8
Vantaa Helsinki-Vantaa airport;2004;1;18;00:00;13,8
Vantaa Helsinki-Vantaa airport;2004;1;19;00:00;8,9
Vantaa Helsinki-Vantaa airport;2004;1;20;00:00;22,6
Vantaa Helsinki-Vantaa airport;2004;1;21;00:00;24,1
Vantaa Helsinki-Vantaa airport;2004;1;22;00:00;23,6
Vantaa Helsinki-Vantaa airport;2004;1;23;00:00;17,8
Vantaa Helsinki-Vantaa airport;2004;1;24;00:00;8,7
Vantaa Helsinki-Vantaa airport;2004;1;25;00:00;18,5
Vantaa Helsinki-Vantaa airport;2004;1;26;00:00;10,6
Vantaa Helsinki-Vantaa airport;2004;1;27;00:00;5,5
Vantaa Helsinki-Vantaa airport;2004;1;28;00:00;11,5
Vantaa Helsinki-Vantaa airport;2004;1;29;00:00;16,3
Vantaa Helsinki-Vantaa airport;2004;1;30;00:00;17
Vantaa Helsinki-Vantaa airport;2004;1;31;00:00;7,1
Vantaa Helsinki-Vantaa airport;2004;2;1;00:00;12,4
Vantaa Helsinki-Vantaa airport;2004;2;2;00:00;21,3
Vantaa Helsinki-Vantaa airport;2004;2;3;00:00;20,7
Vantaa Helsinki-Vantaa airport;2004;2;4;00:00;8,1
Vantaa Helsinki-Vantaa airport;2004;2;5;00:00;16,7
Vantaa Helsinki-Vantaa airport;2004;2;6;00:00;21,2
Vantaa Helsinki-Vantaa airport;2004;2;7;00:00;14,7
Vantaa Helsinki-Vantaa airport;2004;2;8;00:00;34,8
Vantaa Helsinki-Vantaa airport;2004;2;9;00:00;38,3
Vantaa Helsinki-Vantaa airport;2004;2;10;00:00;52,6
Vantaa Helsinki-Vantaa airport;2004;2;11;00:00;57,5
Vantaa Helsinki-Vantaa airport;2004;2;12;00:00;43,6
Vantaa Helsinki-Vantaa airport;2004;2;13;00:00;22,1
Vantaa Helsinki-Vantaa airport;2004;2;14;00:00;28,6
Vantaa Helsinki-Vantaa airport;2004;2;15;00:00;34,3
Vantaa Helsinki-Vantaa airport;2004;2;16;00:00;61,8
Vantaa Helsinki-Vantaa airport;2004;2;17;00:00;21
Vantaa Helsinki-Vantaa airport;2004;2;18;00:00;69,4
Vantaa Helsinki-Vantaa airport;2004;2;19;00:00;60,5
Vantaa Helsinki-Vantaa airport;2004;2;20;00:00;47,2
Vantaa Helsinki-Vantaa airport;2004;2;21;00:00;48,8
Vantaa Helsinki-Vantaa airport;2004;2;22;00:00;35,9
Vantaa Helsinki-Vantaa airport;2004;2;23;00:00;39,7
Vantaa Helsinki-Vantaa airport;2004;2;24;00:00;78,2
Vantaa Helsinki-Vantaa airport;2004;2;25;00:00;26,7
Vantaa Helsinki-Vantaa airport;2004;2;26;00:00;29,4
Vantaa Helsinki-Vantaa airport;2004;2;27;00:00;32,8
Vantaa Helsinki-Vantaa airport;2004;2;28;00:00;76,3
