Observation station;Year;Month;Day;Global radiation mean [W/m2]
Sodankylä Tähtelä;2004;1;1;0,2
Sodankylä Tähtelä;2004;1;2;-0,2
Sodankylä Tähtelä;2004;1;3;0,3
Sodankylä Tähtelä;2004;1;4;-0,4
Sodankylä Tähtelä;2004;1;5;-1
Sodankylä Tähtelä;2004;1;6;0,2
Sodankylä Tähtelä;2004;1;7;0,8
Sodankylä Tähtelä;2004;1;8;0,3
Sodankylä Tähtelä;2004;1;9;0,7
Sodankylä Tähtelä;2004;1;10;1
Sodankylä Tähtelä;2004;1;11;0,7
Sodankylä Tähtelä;2004;1;12;0,9
Sodankylä Tähtelä;2004;1;13;1
Sodankylä Tähtelä;2004;1;14;1,1
Sodankylä Tähtelä;2004;1;15;0,8
Sodankylä Tähtelä;2004;1;16;0,8
Sodankylä Tähtelä;2004;1;17;1,1
Sodankylä Tähtelä;2004;1;18;1,6
Sodankylä Tähtelä;2004;1;19;1,6
Sodankylä Tähtelä;2004;1;20;3
Sodankylä Tähtelä;2004;1;21;1,8
Sodankylä Tähtelä;2004;1;22;4,9
Sodankylä Tähtelä;2004;1;23;3
Sodankylä Tähtelä;2004;1;24;2,5
Sodankylä Tähtelä;2004;1;25;1,7
Sodankylä Tähtelä;2004;1;26;2,4
Sodankylä Tähtelä;2004;1;27;2,1
Sodankylä Tähtelä;2004;1;28;3,2
Sodankylä Tähtelä;2004;1;29;3,9
Sodankylä Tähtelä;2004;1;30;3,8
Sodankylä Tähtelä;2004;1;31;7
Sodankylä Tähtelä;2004;2;1;6,1
Sodankylä Tähtelä;2004;2;2;11,3
Sodankylä Tähtelä;2004;2;3;6,6
Sodankylä Tähtelä;2004;2;4;4,5
Sodankylä Tähtelä;2004;2;5;14,6
Sodankylä Tähtelä;2004;2;6;8,6
Sodankylä Tähtelä;2004;2;7;14,6
Sodankylä Tähtelä;2004;2;8;11,4
Sodankylä Tähtelä;2004;2;9;17,4
Sodankylä Tähtelä;2004;2;10;21,5
Sodankylä Tähtelä;2004;2;11;26,4
Sodankylä Tähtelä;2004;2;12;9,9
Sodankylä Tähtelä;2004;2;13;10,2
Sodankylä Tähtelä;2004;2;14;14,2
