Observation station,Year,Month,Day,Time [Local time],Snow depth mean [cm]
Sodankylä Tähtelä,2004,1,1,00:00,35
Sodankylä Tähtelä,2004,1,2,00:00,35
Sodankylä Tähtelä,2004,1,3,00:00,35.5
Sodankylä Tähtelä,2004,1,4,00:00,39.1
Sodankylä Tähtelä,2004,1,5,00:00,39.8
Sodankylä Tähtelä,2004,1,6,00:00,39.9
Sodankylä Tähtelä,2004,1,7,00:00,39.9
Sodankylä Tähtelä,2004,1,8,00:00,39.4
Sodankylä Tähtelä,2004,1,9,00:00,38.2
Sodankylä Tähtelä,2004,1,10,00:00,37.9
Sodankylä Tähtelä,2004,1,11,00:00,37.2
Sodankylä Tähtelä,2004,1,12,00:00,37.9
Sodankylä Tähtelä,2004,1,13,00:00,37.4
Sodankylä Tähtelä,2004,1,14,00:00,38
Sodankylä Tähtelä,2004,1,15,00:00,38.3
Sodankylä Tähtelä,2004,1,16,00:00,41.6
Sodankylä Tähtelä,2004,1,17,00:00,43.1
Sodankylä Tähtelä,2004,1,18,00:00,42.3
Sodankylä Tähtelä,2004,1,19,00:00,44.1
Sodankylä Tähtelä,2004,1,20,00:00,44.1
Sodankylä Tähtelä,2004,1,21,00:00,42.9
Sodankylä Tähtelä,2004,1,22,00:00,42.4
Sodankylä Tähtelä,2004,1,23,00:00,43
Sodankylä Tähtelä,2004,1,24,00:00,42.6
Sodankylä Tähtelä,2004,1,25,00:00,42.9
Sodankylä Tähtelä,2004,1,26,00:00,43
Sodankylä Tähtelä,2004,1,27,00:00,44.3
Sodankylä Tähtelä,2004,1,28,00:00,47.9
Sodankylä Tähtelä,2004,1,29,00:00,48.4
Sodankylä Tähtelä,2004,1,30,00:00,50.9
Sodankylä Tähtelä,2004,1,31,00:00,52.8
Sodankylä Tähtelä,2004,2,1,00:00,56.2
Sodankylä Tähtelä,2004,2,2,00:00,55.5
Sodankylä Tähtelä,2004,2,3,00:00,58.5
Sodankylä Tähtelä,2004,2,4,00:00,60.1
Sodankylä Tähtelä,2004,2,5,00:00,63.9
Sodankylä Tähtelä,2004,2,6,00:00,63.4
Sodankylä Tähtelä,2004,2,7,00:00,62
Sodankylä Tähtelä,2004,2,8,00:00,62.3
Sodankylä Tähtelä,2004,2,9,00:00,63
Sodankylä Tähtelä,2004,2,10,00:00,62.1
Sodankylä Tähtelä,2004,2,11,00:00,61.8
Sodankylä Tähtelä,2004,2,12,00:00,62
Sodankylä Tähtelä,2004,2,13,00:00,63.6
Sodankylä Tähtelä,2004,2,14,00:00,64.5
Sodankylä Tähtelä,2004,2,15,00:00,64.6
Sodankylä Tähtelä,2004,2,16,00:00,63.9
Sodankylä Tähtelä,2004,2,17,00:00,69.5
Sodankylä Tähtelä,2004,2,18,00:00,67.9
Sodankylä Tähtelä,2004,2,19,00:00,68.3
Sodankylä Tähtelä,2004,2,20,00:00,67.4
Sodankylä Tähtelä,2004,2,21,00:00,63.6
Sodankylä Tähtelä,2004,2,22,00:00,63
Sodankylä Tähtelä,2004,2,23,00:00,62.3
Sodankylä Tähtelä,2004,2,24,00:00,62.1
Sodankylä Tähtelä,2004,2,25,00:00,61.9
Sodankylä Tähtelä,2004,2,26,00:00,64.5
Sodankylä Tähtelä,2004,2,27,00:00,65.6
Sodankylä Tähtelä,2004,2,28,00:00,63.6
Sodankylä Tähtelä,2004,2,29,00:00,63.4
Sodankylä Tähtelä,2004,3,1,00:00,70
Sodankylä Tähtelä,2004,3,2,00:00,70.3
Sodankylä Tähtelä,2004,3,3,00:00,69.5
Sodankylä Tähtelä,2004,3,4,00:00,67.8
Sodankylä Tähtelä,2004,3,5,00:00,68.1
Sodankylä Tähtelä,2004,3,6,00:00,67.8
Sodankylä Tähtelä,2004,3,7,00:00,66.6
Sodankylä Tähtelä,2004,3,8,00:00,65.6
Sodankylä Tähtelä,2004,3,9,00:00,65.2
Sodankylä Tähtelä,2004,3,10,00:00,65.9
Sodankylä Tähtelä,2004,3,11,00:00,65.2
Sodankylä Tähtelä,2004,3,12,00:00,65.2
Sodankylä Tähtelä,2004,3,13,00:00,64.9
Sodankylä Tähtelä,2004,3,14,00:00,64.3
Sodankylä Tähtelä,2004,3,15,00:00,64.7
Sodankylä Tähtelä,2004,3,16,00:00,69.7
Sodankylä Tähtelä,2004,3,17,00:00,70
Sodankylä Tähtelä,2004,3,18,00:00,70
Sodankylä Tähtelä,2004,3,19,00:00,69.6
Sodankylä Tähtelä,2004,3,20,00:00,68.7
Sodankylä Tähtelä,2004,3,21,00:00,68
Sodankylä Tähtelä,2004,3,22,00:00,67.8
Sodankylä Tähtelä,2004,3,23,00:00,68.5
Sodankylä Tähtelä,2004,3,24,00:00,69.4
Sodankylä Tähtelä,2004,3,25,00:00,69.2
Sodankylä Tähtelä,2004,3,26,00:00,69
Sodankylä Tähtelä,2004,3,27,00:00,71.6
Sodankylä Tähtelä,2004,3,28,00:00,74.7
Sodankylä Tähtelä,2004,3,29,00:00,73.8
Sodankylä Tähtelä,2004,3,30,00:00,72.8
Sodankylä Tähtelä,2004,3,31,00:00,72.3
Sodankylä Tähtelä,2004,4,1,00:00,71.9
Sodankylä Tähtelä,2004,4,2,00:00,71.4
Sodankylä Tähtelä,2004,4,3,00:00,71
Sodankylä Tähtelä,2004,4,4,00:00,70.8
Sodankylä Tähtelä,2004,4,5,00:00,70.3
Sodankylä Tähtelä,2004,4,6,00:00,69.4
Sodankylä Tähtelä,2004,4,7,00:00,68.1
Sodankylä Tähtelä,2004,4,8,00:00,66.6
Sodankylä Tähtelä,2004,4,9,00:00,65.4
Sodankylä Tähtelä,2004,4,10,00:00,64.2
Sodankylä Tähtelä,2004,4,11,00:00,63.6
Sodankylä Tähtelä,2004,4,12,00:00,63.9
Sodankylä Tähtelä,2004,4,13,00:00,63.3
Sodankylä Tähtelä,2004,4,14,00:00,66
Sodankylä Tähtelä,2004,4,15,00:00,65.5
Sodankylä Tähtelä,2004,4,16,00:00,63.3
Sodankylä Tähtelä,2004,4,17,00:00,60
Sodankylä Tähtelä,2004,4,18,00:00,55.2
Sodankylä Tähtelä,2004,4,19,00:00,50.7
Sodankylä Tähtelä,2004,4,20,00:00,48.7
Sodankylä Tähtelä,2004,4,21,00:00,47.9
Sodankylä Tähtelä,2004,4,22,00:00,48
Sodankylä Tähtelä,2004,4,23,00:00,47.4
Sodankylä Tähtelä,2004,4,24,00:00,47
Sodankylä Tähtelä,2004,4,25,00:00,46.6
Sodankylä Tähtelä,2004,4,26,00:00,44.5
Sodankylä Tähtelä,2004,4,27,00:00,42.4
Sodankylä Tähtelä,2004,4,28,00:00,40.3
Sodankylä Tähtelä,2004,4,29,00:00,37.5
Sodankylä Tähtelä,2004,4,30,00:00,34.7
Sodankylä Tähtelä,2004,5,1,00:00,32.2
Sodankylä Tähtelä,2004,5,2,00:00,30
Sodankylä Tähtelä,2004,5,3,00:00,25.2
Sodankylä Tähtelä,2004,5,4,00:00,18.7
Sodankylä Tähtelä,2004,5,5,00:00,8.7
Sodankylä Tähtelä,2004,5,6,00:00,1.4
Sodankylä Tähtelä,2004,5,7,00:00,0
Sodankylä Tähtelä,2004,5,8,00:00,0
Sodankylä Tähtelä,2004,5,9,00:00,0
Sodankylä Tähtelä,2004,5,10,00:00,0
Sodankylä Tähtelä,2004,5,11,00:00,0.1
Sodankylä Tähtelä,2004,5,12,00:00,0
Sodankylä Tähtelä,2004,5,13,00:00,0
Sodankylä Tähtelä,2004,5,14,00:00,0.1
Sodankylä Tähtelä,2004,5,15,00:00,0
Sodankylä Tähtelä,2004,5,16,00:00,2.2
Sodankylä Tähtelä,2004,5,17,00:00,0.8
Sodankylä Tähtelä,2004,5,18,00:00,-
-,2004,5,19,00:00,-
-,2004,5,20,00:00,-
-,2004,5,21,00:00,-
-,2004,5,22,00:00,-
-,2004,5,23,00:00,-
-,2004,5,24,00:00,-
-,2004,5,25,00:00,-
-,2004,5,26,00:00,-
-,2004,5,27,00:00,-
-,2004,5,28,00:00,-
-,2004,5,29,00:00,-
-,2004,5,30,00:00,-
-,2004,5,31,00:00,-
-,2004,6,1,00:00,-
-,2004,6,2,00:00,-
-,2004,6,3,00:00,-
-,2004,6,4,00:00,-
-,2004,6,5,00:00,-
-,2004,6,6,00:00,-
-,2004,6,7,00:00,-
