Observation station;Year;Month;Day;Global radiation mean [W/m2]
Sotkamo Kuolaniemi;2004;1;1;-0,7
Sotkamo Kuolaniemi;2004;1;2;0,9
Sotkamo Kuolaniemi;2004;1;3;1,4
Sotkamo Kuolaniemi;2004;1;4;0,3
Sotkamo Kuolaniemi;2004;1;5;-0,9
Sotkamo Kuolaniemi;2004;1;6;-0,2
Sotkamo Kuolaniemi;2004;1;7;2
Sotkamo Kuolaniemi;2004;1;8;1,3
Sotkamo Kuolaniemi;2004;1;9;0,9
Sotkamo Kuolaniemi;2004;1;10;2,4
Sotkamo Kuolaniemi;2004;1;11;4,7
Sotkamo Kuolaniemi;2004;1;12;1,4
Sotkamo Kuolaniemi;2004;1;13;0,8
Sotkamo Kuolaniemi;2004;1;14;3,8
Sotkamo Kuolaniemi;2004;1;15;2,6
Sotkamo Kuolaniemi;2004;1;16;2,2
Sotkamo Kuolaniemi;2004;1;17;1,7
Sotkamo Kuolaniemi;2004;1;18;1,6
Sotkamo Kuolaniemi;2004;1;19;1,5
Sotkamo Kuolaniemi;2004;1;20;5,4
Sotkamo Kuolaniemi;2004;1;21;4,9
Sotkamo Kuolaniemi;2004;1;22;5,1
Sotkamo Kuolaniemi;2004;1;23;7,3
Sotkamo Kuolaniemi;2004;1;24;3,7
Sotkamo Kuolaniemi;2004;1;25;4,2
Sotkamo Kuolaniemi;2004;1;26;4,7
Sotkamo Kuolaniemi;2004;1;27;5,5
Sotkamo Kuolaniemi;2004;1;28;9,1
Sotkamo Kuolaniemi;2004;1;29;6,1
Sotkamo Kuolaniemi;2004;1;30;9,3
Sotkamo Kuolaniemi;2004;1;31;6,2
Sotkamo Kuolaniemi;2004;2;1;3,7
Sotkamo Kuolaniemi;2004;2;2;7,4
Sotkamo Kuolaniemi;2004;2;3;4,9
Sotkamo Kuolaniemi;2004;2;4;5,2
Sotkamo Kuolaniemi;2004;2;5;11,2
Sotkamo Kuolaniemi;2004;2;6;12,2
Sotkamo Kuolaniemi;2004;2;7;16,1
Sotkamo Kuolaniemi;2004;2;8;17,6
Sotkamo Kuolaniemi;2004;2;9;19,7
Sotkamo Kuolaniemi;2004;2;10;20,4
Sotkamo Kuolaniemi;2004;2;11;33,4
Sotkamo Kuolaniemi;2004;2;12;18,4
Sotkamo Kuolaniemi;2004;2;13;15,7
Sotkamo Kuolaniemi;2004;2;14;17,8
Sotkamo Kuolaniemi;2004;2;15;18,3
Sotkamo Kuolaniemi;2004;2;16;42,8
Sotkamo Kuolaniemi;2004;2;17;34,3
Sotkamo Kuolaniemi;2004;2;18;47,4
Sotkamo Kuolaniemi;2004;2;19;16,7
Sotkamo Kuolaniemi;2004;2;20;33,3
Sotkamo Kuolaniemi;2004;2;21;37,5
Sotkamo Kuolaniemi;2004;2;22;40,6
Sotkamo Kuolaniemi;2004;2;23;39
Sotkamo Kuolaniemi;2004;2;24;58,7
Sotkamo Kuolaniemi;2004;2;25;40,1
Sotkamo Kuolaniemi;2004;2;26;21,3
Sotkamo Kuolaniemi;2004;2;27;30,9
Sotkamo Kuolaniemi;2004;2;28;30,5
Sotkamo Kuolaniemi;2004;2;29;56,6
Sotkamo Kuolaniemi;2004;3;1;30,5
Sotkamo Kuolaniemi;2004;3;2;35,9
Sotkamo Kuolaniemi;2004;3;3;82,8
Sotkamo Kuolaniemi;2004;3;4;85
Sotkamo Kuolaniemi;2004;3;5;78,9
Sotkamo Kuolaniemi;2004;3;6;60,4
Sotkamo Kuolaniemi;2004;3;7;34,7
Sotkamo Kuolaniemi;2004;3;8;95,4
Sotkamo Kuolaniemi;2004;3;9;97,2
Sotkamo Kuolaniemi;2004;3;10;94,9
Sotkamo Kuolaniemi;2004;3;11;78,1
Sotkamo Kuolaniemi;2004;3;12;77
Sotkamo Kuolaniemi;2004;3;13;97,9
Sotkamo Kuolaniemi;2004;3;14;99
Sotkamo Kuolaniemi;2004;3;15;-
-;2004;3;16;-
Sotkamo Kuolaniemi;2004;3;17;55,3
Sotkamo Kuolaniemi;2004;3;18;34,7
Sotkamo Kuolaniemi;2004;3;19;60,3
Sotkamo Kuolaniemi;2004;3;20;61,4
Sotkamo Kuolaniemi;2004;3;21;53,9
Sotkamo Kuolaniemi;2004;3;22;53,6
Sotkamo Kuolaniemi;2004;3;23;60,4
Sotkamo Kuolaniemi;2004;3;24;45,6
Sotkamo Kuolaniemi;2004;3;25;74,2
Sotkamo Kuolaniemi;2004;3;26;131,8
Sotkamo Kuolaniemi;2004;3;27;111,3
Sotkamo Kuolaniemi;2004;3;28;84,1
Sotkamo Kuolaniemi;2004;3;29;150,6
Sotkamo Kuolaniemi;2004;3;30;69,7
Sotkamo Kuolaniemi;2004;3;31;133,5
Sotkamo Kuolaniemi;2004;4;1;178,9
Sotkamo Kuolaniemi;2004;4;2;176,3
Sotkamo Kuolaniemi;2004;4;3;183,3
Sotkamo Kuolaniemi;2004;4;4;185
Sotkamo Kuolaniemi;2004;4;5;182,3
Sotkamo Kuolaniemi;2004;4;6;187,1
Sotkamo Kuolaniemi;2004;4;7;190,1
Sotkamo Kuolaniemi;2004;4;8;195
Sotkamo Kuolaniemi;2004;4;9;147
Sotkamo Kuolaniemi;2004;4;10;80
Sotkamo Kuolaniemi;2004;4;11;137,1
Sotkamo Kuolaniemi;2004;4;12;187,1
Sotkamo Kuolaniemi;2004;4;13;196,2
Sotkamo Kuolaniemi;2004;4;14;64,8
Sotkamo Kuolaniemi;2004;4;15;93,5
Sotkamo Kuolaniemi;2004;4;16;209,1
Sotkamo Kuolaniemi;2004;4;17;216,8
Sotkamo Kuolaniemi;2004;4;18;171
Sotkamo Kuolaniemi;2004;4;19;210
Sotkamo Kuolaniemi;2004;4;20;204,4
Sotkamo Kuolaniemi;2004;4;21;154,1
Sotkamo Kuolaniemi;2004;4;22;247,8
Sotkamo Kuolaniemi;2004;4;23;234,4
Sotkamo Kuolaniemi;2004;4;24;206,1
Sotkamo Kuolaniemi;2004;4;25;249,1
Sotkamo Kuolaniemi;2004;4;26;195,4
Sotkamo Kuolaniemi;2004;4;27;254,7
Sotkamo Kuolaniemi;2004;4;28;261,7
Sotkamo Kuolaniemi;2004;4;29;204,4
Sotkamo Kuolaniemi;2004;4;30;239
Sotkamo Kuolaniemi;2004;5;1;199,5
Sotkamo Kuolaniemi;2004;5;2;230,4
Sotkamo Kuolaniemi;2004;5;3;233
Sotkamo Kuolaniemi;2004;5;4;200,1
Sotkamo Kuolaniemi;2004;5;5;141,2
Sotkamo Kuolaniemi;2004;5;6;152,7
Sotkamo Kuolaniemi;2004;5;7;238,3
Sotkamo Kuolaniemi;2004;5;8;204,5
Sotkamo Kuolaniemi;2004;5;9;233,4
Sotkamo Kuolaniemi;2004;5;10;51,8
Sotkamo Kuolaniemi;2004;5;11;176
Sotkamo Kuolaniemi;2004;5;12;213,7
Sotkamo Kuolaniemi;2004;5;13;169,7
Sotkamo Kuolaniemi;2004;5;14;242,7
Sotkamo Kuolaniemi;2004;5;15;82,5
Sotkamo Kuolaniemi;2004;5;16;249,7
Sotkamo Kuolaniemi;2004;5;17;295,2
Sotkamo Kuolaniemi;2004;5;18;66
Sotkamo Kuolaniemi;2004;5;19;215,7
Sotkamo Kuolaniemi;2004;5;20;64,8
Sotkamo Kuolaniemi;2004;5;21;112,2
Sotkamo Kuolaniemi;2004;5;22;73,9
Sotkamo Kuolaniemi;2004;5;23;31,9
Sotkamo Kuolaniemi;2004;5;24;59,1
Sotkamo Kuolaniemi;2004;5;25;80,5
Sotkamo Kuolaniemi;2004;5;26;211,8
Sotkamo Kuolaniemi;2004;5;27;180,8
Sotkamo Kuolaniemi;2004;5;28;218,4
Sotkamo Kuolaniemi;2004;5;29;233,6
Sotkamo Kuolaniemi;2004;5;30;50,4
