Observation station,Year,Month,Day,Date,Snow depth mean [cm],Average temperature [°C],cloud_code,Global radiation mean [W/m2]
Kuusamo Kiutak?ng?s,2004,1,1,2004-01-01,32,"-28,6",,0.2
Kuusamo Kiutak?ng?s,2004,1,2,2004-01-02,"32,1","-20,6",,-0.2
Kuusamo Kiutak?ng?s,2004,1,3,2004-01-03,31,"-21,9",,0.3
Kuusamo Kiutak?ng?s,2004,1,4,2004-01-04,"30,7","-14,7",,-0.4
Kuusamo Kiutak?ng?s,2004,1,5,2004-01-05,"31,8","-14,2",,-1.0
Kuusamo Kiutak?ng?s,2004,1,6,2004-01-06,32,"-16,6",,0.2
Kuusamo Kiutak?ng?s,2004,1,7,2004-01-07,"30,8","-14,1",,0.8
Kuusamo Kiutak?ng?s,2004,1,8,2004-01-08,32,"-3,8",,0.3
Kuusamo Kiutak?ng?s,2004,1,9,2004-01-09,31,"-2,4",,0.7
Kuusamo Kiutak?ng?s,2004,1,10,2004-01-10,"30,2",-2,,1.0
Kuusamo Kiutak?ng?s,2004,1,11,2004-01-11,"29,8","-5,8",,0.7
Kuusamo Kiutak?ng?s,2004,1,12,2004-01-12,"29,3","-11,4",,0.9
Kuusamo Kiutak?ng?s,2004,1,13,2004-01-13,"29,3","-10,5",,1.0
Kuusamo Kiutak?ng?s,2004,1,14,2004-01-14,"32,1","-10,5",,1.1
Kuusamo Kiutak?ng?s,2004,1,15,2004-01-15,"32,1","-12,4",,0.8
Kuusamo Kiutak?ng?s,2004,1,16,2004-01-16,"38,2","-9,7",,0.8
Kuusamo Kiutak?ng?s,2004,1,17,2004-01-17,"41,8","-15,7",,1.1
Kuusamo Kiutak?ng?s,2004,1,18,2004-01-18,"40,5","-25,1",,1.6
Kuusamo Kiutak?ng?s,2004,1,19,2004-01-19,"40,9","-22,9",,1.6
Kuusamo Kiutak?ng?s,2004,1,20,2004-01-20,"40,2","-22,4",,3.0
Kuusamo Kiutak?ng?s,2004,1,21,2004-01-21,"40,4","-17,6",,1.8
Kuusamo Kiutak?ng?s,2004,1,22,2004-01-22,"39,7","-20,3",,4.9
Kuusamo Kiutak?ng?s,2004,1,23,2004-01-23,"40,4","-9,5",,3.0
Kuusamo Kiutak?ng?s,2004,1,24,2004-01-24,"40,4",-2,,2.5
Kuusamo Kiutak?ng?s,2004,1,25,2004-01-25,40,"-2,5",,1.7
Kuusamo Kiutak?ng?s,2004,1,26,2004-01-26,"39,6","-13,5",,2.4
Kuusamo Kiutak?ng?s,2004,1,27,2004-01-27,"40,8","-7,9",,2.1
Kuusamo Kiutak?ng?s,2004,1,28,2004-01-28,"42,1","-8,8",,3.2
Kuusamo Kiutak?ng?s,2004,1,29,2004-01-29,"43,2","-11,9",,3.9
Kuusamo Kiutak?ng?s,2004,1,30,2004-01-30,"43,5",-10,,3.8
Kuusamo Kiutak?ng?s,2004,1,31,2004-01-31,"44,5","-12,3",,7.0
Kuusamo Kiutak?ng?s,2004,2,1,2004-02-01,"47,1","-5,3",,6.1
Kuusamo Kiutak?ng?s,2004,2,2,2004-02-02,"46,9","-10,4",,11.3
Kuusamo Kiutak?ng?s,2004,2,3,2004-02-03,"47,8","-4,4",,6.6
Kuusamo Kiutak?ng?s,2004,2,4,2004-02-04,"49,8","-4,7",,4.5
Kuusamo Kiutak?ng?s,2004,2,5,2004-02-05,"52,1",-11,,14.6
Kuusamo Kiutak?ng?s,2004,2,6,2004-02-06,"52,1","-17,8",,8.6
Kuusamo Kiutak?ng?s,2004,2,7,2004-02-07,"53,3","-20,8",,14.6
Kuusamo Kiutak?ng?s,2004,2,8,2004-02-08,"53,5","-25,3",,11.4
Kuusamo Kiutak?ng?s,2004,2,9,2004-02-09,55,"-17,3",,17.4
Kuusamo Kiutak?ng?s,2004,2,10,2004-02-10,"55,2","-21,1",,21.5
Kuusamo Kiutak?ng?s,2004,2,11,2004-02-11,"54,4","-27,3",,26.4
Kuusamo Kiutak?ng?s,2004,2,12,2004-02-12,"53,8","-17,6",,9.9
Kuusamo Kiutak?ng?s,2004,2,13,2004-02-13,"56,4","-6,5",,10.2
Kuusamo Kiutak?ng?s,2004,2,14,2004-02-14,"58,9","-6,7",,14.2
Kuusamo Kiutak?ng?s,2004,2,15,2004-02-15,"59,1","-3,6",,26.4
Kuusamo Kiutak?ng?s,2004,2,16,2004-02-16,"58,3","-15,5",,19.2
Kuusamo Kiutak?ng?s,2004,2,17,2004-02-17,"57,5","-18,2",,25.3
Kuusamo Kiutak?ng?s,2004,2,18,2004-02-18,"56,7","-20,6",,18.8
Kuusamo Kiutak?ng?s,2004,2,19,2004-02-19,"57,5","-8,8",,14.0
Kuusamo Kiutak?ng?s,2004,2,20,2004-02-20,"57,5","1,8",,19.2
Kuusamo Kiutak?ng?s,2004,2,21,2004-02-21,"56,5","0,2",,16.1
Kuusamo Kiutak?ng?s,2004,2,22,2004-02-22,"64,3","-7,1",,45.0
Kuusamo Kiutak?ng?s,2004,2,23,2004-02-23,"62,1","-23,3",,46.3
Kuusamo Kiutak?ng?s,2004,2,24,2004-02-24,"60,9","-25,4",,47.1
Kuusamo Kiutak?ng?s,2004,2,25,2004-02-25,60,"-14,9",,32.1
Kuusamo Kiutak?ng?s,2004,2,26,2004-02-26,"62,3","-11,3",,25.7
Kuusamo Kiutak?ng?s,2004,2,27,2004-02-27,"64,2","-9,8",,50.7
Kuusamo Kiutak?ng?s,2004,2,28,2004-02-28,"66,2","-15,8",,55.0
Kuusamo Kiutak?ng?s,2004,2,29,2004-02-29,"65,4","-16,3",,57.2
Kuusamo Kiutak?ng?s,2004,3,1,2004-03-01,"66,7",-10,,29.9
Kuusamo Kiutak?ng?s,2004,3,2,2004-03-02,"67,5","-14,2",,34.7
Kuusamo Kiutak?ng?s,2004,3,3,2004-03-03,"66,8","-16,5",,67.2
Kuusamo Kiutak?ng?s,2004,3,4,2004-03-04,"65,9","-11,9",,55.3
Kuusamo Kiutak?ng?s,2004,3,5,2004-03-05,"64,7","-14,8",,65.0
Kuusamo Kiutak?ng?s,2004,3,6,2004-03-06,64,-12,,37.3
Kuusamo Kiutak?ng?s,2004,3,7,2004-03-07,"63,8","-6,5",,54.7
Kuusamo Kiutak?ng?s,2004,3,8,2004-03-08,"63,4","-12,2",,72.4
Kuusamo Kiutak?ng?s,2004,3,9,2004-03-09,63,-7,,64.0
Kuusamo Kiutak?ng?s,2004,3,10,2004-03-10,"62,3","-3,2",,74.8
Kuusamo Kiutak?ng?s,2004,3,11,2004-03-11,"61,7","-4,8",,88.6
Kuusamo Kiutak?ng?s,2004,3,12,2004-03-12,"61,1",-7,,34.5
Kuusamo Kiutak?ng?s,2004,3,13,2004-03-13,"60,9","-5,6",,70.4
Kuusamo Kiutak?ng?s,2004,3,14,2004-03-14,"60,6","-8,7",,55.9
Kuusamo Kiutak?ng?s,2004,3,15,2004-03-15,"60,1","0,7",,13.9
Kuusamo Kiutak?ng?s,2004,3,16,2004-03-16,"61,7","0,7",,32.0
Kuusamo Kiutak?ng?s,2004,3,17,2004-03-17,"61,9","-1,1",,68.5
Kuusamo Kiutak?ng?s,2004,3,18,2004-03-18,"61,6","-2,2",,72.5
Kuusamo Kiutak?ng?s,2004,3,19,2004-03-19,"61,7","-1,1",,53.0
Kuusamo Kiutak?ng?s,2004,3,20,2004-03-20,"61,1","0,5",,52.7
Kuusamo Kiutak?ng?s,2004,3,21,2004-03-21,61,-3,,48.7
Kuusamo Kiutak?ng?s,2004,3,22,2004-03-22,"60,4","-7,7",,65.5
Kuusamo Kiutak?ng?s,2004,3,23,2004-03-23,"61,2","-7,6",,84.3
Kuusamo Kiutak?ng?s,2004,3,24,2004-03-24,"62,4","-7,4",,83.6
Kuusamo Kiutak?ng?s,2004,3,25,2004-03-25,"62,4","-10,3",,118.5
Kuusamo Kiutak?ng?s,2004,3,26,2004-03-26,62,"-12,6",,121.4
Kuusamo Kiutak?ng?s,2004,3,27,2004-03-27,"62,2","-8,4",,76.2
Kuusamo Kiutak?ng?s,2004,3,28,2004-03-28,"67,6","-4,9",,85.6
Kuusamo Kiutak?ng?s,2004,3,29,2004-03-29,"68,3","-4,4",,83.3
Kuusamo Kiutak?ng?s,2004,3,30,2004-03-30,"68,1","-5,8",,80.8
Kuusamo Kiutak?ng?s,2004,3,31,2004-03-31,"67,7","-7,1",,147.0
Kuusamo Kiutak?ng?s,2004,4,1,2004-04-01,"66,6","-13,8",,169.8
Kuusamo Kiutak?ng?s,2004,4,2,2004-04-02,"66,1","-10,5",,163.8
Kuusamo Kiutak?ng?s,2004,4,3,2004-04-03,"65,2","-3,6",,114.5
Kuusamo Kiutak?ng?s,2004,4,4,2004-04-04,"64,1","-4,4",,132.6
Kuusamo Kiutak?ng?s,2004,4,5,2004-04-05,"63,3","-3,8",,170.7
Kuusamo Kiutak?ng?s,2004,4,6,2004-04-06,"61,2",-2,,177.0
Kuusamo Kiutak?ng?s,2004,4,7,2004-04-07,"59,3","-1,1",,180.6
Kuusamo Kiutak?ng?s,2004,4,8,2004-04-08,"57,8","0,1",,125.1
