Observation station,Year,Month,Day,Date,Snow depth mean [cm],Average temperature [°C],cloud_code,Global radiation mean [W/m2]
Pelkosenniemi parish,2014,1,1,2014-01-01,30,-8.0,8.0,-0.5
Pelkosenniemi parish,2014,1,2,2014-01-02,30,-6.6,8.0,-0.2
Pelkosenniemi parish,2014,1,3,2014-01-03,30,-3.9,8.0,0.1
Pelkosenniemi parish,2014,1,4,2014-01-04,30,-5.4,8.0,-0.1
Pelkosenniemi parish,2014,1,5,2014-01-05,30,-3.1,8.0,-0.2
Pelkosenniemi parish,2014,1,6,2014-01-06,30,-2.2,8.0,-1.1
Pelkosenniemi parish,2014,1,7,2014-01-07,31,-3.7,8.0,-0.6
Pelkosenniemi parish,2014,1,8,2014-01-08,37,-1.9,8.0,-2.4
Pelkosenniemi parish,2014,1,9,2014-01-09,50,-11.9,9.0,0.3
Pelkosenniemi parish,2014,1,10,2014-01-10,47,-17.2,8.0,-0.1
Pelkosenniemi parish,2014,1,11,2014-01-11,47,-18.1,0.0,0.4
Pelkosenniemi parish,2014,1,12,2014-01-12,47,-17.2,5.0,-0.2
Pelkosenniemi parish,2014,1,13,2014-01-13,47,-13.7,0.0,-0.2
Pelkosenniemi parish,2014,1,14,2014-01-14,47,-13.5,0.0,-0.2
Pelkosenniemi parish,2014,1,15,2014-01-15,44,-12.8,7.0,-1.1
Pelkosenniemi parish,2014,1,16,2014-01-16,44,-10.7,3.0,-0.2
Pelkosenniemi parish,2014,1,17,2014-01-17,44,-12.7,7.0,-1.6
Pelkosenniemi parish,2014,1,18,2014-01-18,44,-15.7,8.0,-0.5
Pelkosenniemi parish,2014,1,19,2014-01-19,44,-15.2,0.0,1.5
Pelkosenniemi parish,2014,1,20,2014-01-20,44,-14.9,0.0,2.4
Pelkosenniemi parish,2014,1,21,2014-01-21,43,-12.7,1.0,-0.4
Pelkosenniemi parish,2014,1,22,2014-01-22,43,-12.7,8.0,3.0
Pelkosenniemi parish,2014,1,23,2014-01-23,44,-13.8,8.0,1.9
Pelkosenniemi parish,2014,1,24,2014-01-24,46,-14.1,8.0,3.1
Pelkosenniemi parish,2014,1,25,2014-01-25,46,-13.0,8.0,3.7
Pelkosenniemi parish,2014,1,26,2014-01-26,46,-10.4,7.0,2.6
Pelkosenniemi parish,2014,1,27,2014-01-27,46,-12.2,8.0,2.4
Pelkosenniemi parish,2014,1,28,2014-01-28,49,-16.8,8.0,5.3
Pelkosenniemi parish,2014,1,29,2014-01-29,49,-16.1,7.0,7.2
Pelkosenniemi parish,2014,1,30,2014-01-30,51,-15.1,7.0,8.9
Pelkosenniemi parish,2014,1,31,2014-01-31,51,-20.1,7.0,5.9
Pelkosenniemi parish,2014,2,1,2014-02-01,51,-18.9,7.0,1.5
Pelkosenniemi parish,2014,2,2,2014-02-02,52,-12.5,8.0,4.1
Pelkosenniemi parish,2014,2,3,2014-02-03,53,-6.5,8.0,2.9
Pelkosenniemi parish,2014,2,4,2014-02-04,52,-3.2,8.0,8.3
Pelkosenniemi parish,2014,2,5,2014-02-05,51,-4.8,8.0,4.8
Pelkosenniemi parish,2014,2,6,2014-02-06,51,-6.8,8.0,3.9
Pelkosenniemi parish,2014,2,7,2014-02-07,50,-9.3,8.0,4.5
Pelkosenniemi parish,2014,2,8,2014-02-08,50,-6.1,7.0,7.6
Pelkosenniemi parish,2014,2,9,2014-02-09,53,-3.0,8.0,6.0
Pelkosenniemi parish,2014,2,10,2014-02-10,51,-1.8,8.0,4.7
Pelkosenniemi parish,2014,2,11,2014-02-11,49,-2.1,8.0,7.1
Pelkosenniemi parish,2014,2,12,2014-02-12,55,-2.8,9.0,6.3
Pelkosenniemi parish,2014,2,13,2014-02-13,55,-3.5,8.0,10.9
Pelkosenniemi parish,2014,2,14,2014-02-14,57,-3.7,8.0,10.1
Pelkosenniemi parish,2014,2,15,2014-02-15,57,-3.1,8.0,6.8
Pelkosenniemi parish,2014,2,16,2014-02-16,56,-4.7,8.0,10.3
Pelkosenniemi parish,2014,2,17,2014-02-17,55,-3.9,8.0,11.1
Pelkosenniemi parish,2014,2,18,2014-02-18,56,-5.9,8.0,15.8
Pelkosenniemi parish,2014,2,19,2014-02-19,56,-8.1,7.0,16.7
Pelkosenniemi parish,2014,2,20,2014-02-20,56,-10.3,8.0,35.8
Pelkosenniemi parish,2014,2,21,2014-02-21,57,-14.4,8.0,21.5
Pelkosenniemi parish,2014,2,22,2014-02-22,58,-9.7,8.0,13.1
Pelkosenniemi parish,2014,2,23,2014-02-23,59,-2.3,8.0,15.9
Pelkosenniemi parish,2014,2,24,2014-02-24,55,-0.4,8.0,27.7
Pelkosenniemi parish,2014,2,25,2014-02-25,50,0.0,8.0,25.4
Pelkosenniemi parish,2014,2,26,2014-02-26,54,-2.3,0.0,8.5
Pelkosenniemi parish,2014,2,27,2014-02-27,45,-4.7,8.0,11.3
Pelkosenniemi parish,2014,2,28,2014-02-28,45,-3.4,8.0,11.9
Pelkosenniemi parish,2014,3,1,2014-03-01,45,-2.6,8.0,10.7
Pelkosenniemi parish,2014,3,2,2014-03-02,46,-4.2,7.0,26.1
Pelkosenniemi parish,2014,3,3,2014-03-03,46,-4.7,7.0,25.7
Pelkosenniemi parish,2014,3,4,2014-03-04,50,-3.4,8.0,14.3
Pelkosenniemi parish,2014,3,5,2014-03-05,50,-2.7,8.0,11.6
