Observation station,Year,Month,Day,Date,Snow depth mean [cm],Average temperature [°C],cloud_code,Global radiation mean [W/m2]
Turku airport,2004,1,1,2004-01-01,10.0,-8.6,,14.0
Turku airport,2004,1,2,2004-01-02,10.0,-15.2,,14.2
Turku airport,2004,1,3,2004-01-03,10.0,-10.9,,11.0
Turku airport,2004,1,4,2004-01-04,10.0,-2.7,,5.2
Turku airport,2004,1,5,2004-01-05,18.0,-4.5,,6.1
Turku airport,2004,1,6,2004-01-06,18.0,-4.4,,4.6
Turku airport,2004,1,7,2004-01-07,19.0,-0.6,,3.9
Turku airport,2004,1,8,2004-01-08,20.0,-0.7,,3.0
Turku airport,2004,1,9,2004-01-09,22.0,-3.3,,4.6
Turku airport,2004,1,10,2004-01-10,22.0,-11.2,,6.2
Turku airport,2004,1,11,2004-01-11,22.0,-6.1,,3.2
Turku airport,2004,1,12,2004-01-12,22.0,-3.7,,3.3
Turku airport,2004,1,13,2004-01-13,21.0,1.8,,3.4
Turku airport,2004,1,14,2004-01-14,18.0,-1.2,,4.1
Turku airport,2004,1,15,2004-01-15,18.0,-5.2,,8.9
Turku airport,2004,1,16,2004-01-16,18.0,-6.1,,12.8
Turku airport,2004,1,17,2004-01-17,21.0,-4.1,,4.8
Turku airport,2004,1,18,2004-01-18,21.0,-2.8,,13.8
Turku airport,2004,1,19,2004-01-19,21.0,-5.2,,8.9
Turku airport,2004,1,20,2004-01-20,21.0,-12.5,,22.6
Turku airport,2004,1,21,2004-01-21,21.0,-12.0,,24.1
Turku airport,2004,1,22,2004-01-22,21.0,-11.5,,23.6
Turku airport,2004,1,23,2004-01-23,21.0,-7.1,,17.8
Turku airport,2004,1,24,2004-01-24,21.0,0.2,,8.7
Turku airport,2004,1,25,2004-01-25,21.0,-6.0,,18.5
Turku airport,2004,1,26,2004-01-26,21.0,-5.6,,10.6
Turku airport,2004,1,27,2004-01-27,22.0,-3.2,,5.5
Turku airport,2004,1,28,2004-01-28,23.0,-4.1,,11.5
Turku airport,2004,1,29,2004-01-29,24.0,-4.5,,16.3
Turku airport,2004,1,30,2004-01-30,25.0,-6.0,,17.0
Turku airport,2004,1,31,2004-01-31,25.0,-2.0,,7.1
Turku airport,2004,2,1,2004-02-01,37.0,-0.4,,12.4
Turku airport,2004,2,2,2004-02-02,35.0,-2.7,,21.3
Turku airport,2004,2,3,2004-02-03,35.0,-0.5,,20.7
Turku airport,2004,2,4,2004-02-04,29.0,3.1,,8.1
Turku airport,2004,2,5,2004-02-05,24.0,0.7,,16.7
Turku airport,2004,2,6,2004-02-06,22.0,-3.2,,21.2
Turku airport,2004,2,7,2004-02-07,23.0,-4.4,,14.7
Turku airport,2004,2,8,2004-02-08,23.0,-7.3,,34.8
Turku airport,2004,2,9,2004-02-09,23.0,-8.1,,38.3
Turku airport,2004,2,10,2004-02-10,24.0,-11.5,,52.6
Turku airport,2004,2,11,2004-02-11,24.0,-12.2,,57.5
Turku airport,2004,2,12,2004-02-12,24.0,-10.7,,43.6
Turku airport,2004,2,13,2004-02-13,25.0,-0.8,,22.1
Turku airport,2004,2,14,2004-02-14,23.0,2.2,,28.6
Turku airport,2004,2,15,2004-02-15,23.0,-0.6,,34.3
Turku airport,2004,2,16,2004-02-16,23.0,-0.4,,61.8
Turku airport,2004,2,17,2004-02-17,23.0,0.6,,21.0
Turku airport,2004,2,18,2004-02-18,24.0,-7.6,,69.4
Turku airport,2004,2,19,2004-02-19,23.0,-7.9,,60.5
Turku airport,2004,2,20,2004-02-20,24.0,0.5,,47.2
Turku airport,2004,2,21,2004-02-21,24.0,0.2,,48.8
