Observation station,Year,Month,Day,Date,Snow depth mean [cm],Average temperature [°C],cloud_code,Global radiation mean [W/m2]
Sotkamo Kuolaniemi,2014,1,1,2014-01-01,6.0,0.5,8.0,2.2
Sotkamo Kuolaniemi,2014,1,2,2014-01-02,5.0,-0.1,8.0,1.8
Sotkamo Kuolaniemi,2014,1,3,2014-01-03,5.0,-3.0,8.0,0.7
Sotkamo Kuolaniemi,2014,1,4,2014-01-04,4.0,-2.0,8.0,1.1
Sotkamo Kuolaniemi,2014,1,5,2014-01-05,4.0,-0.9,8.0,1.6
Sotkamo Kuolaniemi,2014,1,6,2014-01-06,4.0,-0.8,8.0,2.2
Sotkamo Kuolaniemi,2014,1,7,2014-01-07,6.0,-0.4,8.0,1.5
Sotkamo Kuolaniemi,2014,1,8,2014-01-08,6.0,0.1,9.0,2.3
Sotkamo Kuolaniemi,2014,1,9,2014-01-09,8.0,-0.7,9.0,3.2
Sotkamo Kuolaniemi,2014,1,10,2014-01-10,12.0,-8.3,8.0,1.9
Sotkamo Kuolaniemi,2014,1,11,2014-01-11,10.0,-14.4,8.0,5.6
Sotkamo Kuolaniemi,2014,1,12,2014-01-12,10.0,-13.4,8.0,4.4
Sotkamo Kuolaniemi,2014,1,13,2014-01-13,11.0,-14.2,7.0,6.7
Sotkamo Kuolaniemi,2014,1,14,2014-01-14,11.0,-13.3,1.0,7.6
Sotkamo Kuolaniemi,2014,1,15,2014-01-15,10.0,-19.8,7.0,8.4
Sotkamo Kuolaniemi,2014,1,16,2014-01-16,11.0,-17.3,9.0,5.3
Sotkamo Kuolaniemi,2014,1,17,2014-01-17,11.0,-18.5,0.0,8.9
Sotkamo Kuolaniemi,2014,1,18,2014-01-18,12.0,-17.0,8.0,5.9
Sotkamo Kuolaniemi,2014,1,19,2014-01-19,11.0,-21.0,9.0,7.5
Sotkamo Kuolaniemi,2014,1,20,2014-01-20,13.0,-21.1,7.0,6.9
Sotkamo Kuolaniemi,2014,1,21,2014-01-21,14.0,-14.2,7.0,11.4
Sotkamo Kuolaniemi,2014,1,22,2014-01-22,14.0,-18.1,7.0,13.1
Sotkamo Kuolaniemi,2014,1,23,2014-01-23,13.0,-23.4,8.0,15.6
Sotkamo Kuolaniemi,2014,1,24,2014-01-24,15.0,-9.8,7.0,7.1
Sotkamo Kuolaniemi,2014,1,25,2014-01-25,15.0,-7.2,8.0,7.1
Sotkamo Kuolaniemi,2014,1,26,2014-01-26,14.0,-6.9,8.0,7.1
Sotkamo Kuolaniemi,2014,1,27,2014-01-27,14.0,-8.4,8.0,15.8
Sotkamo Kuolaniemi,2014,1,28,2014-01-28,14.0,-14.8,7.0,19.4
Sotkamo Kuolaniemi,2014,1,29,2014-01-29,15.0,-16.6,0.0,22.5
