Observation station,Year,Month,Day,Snow depth mean [cm],Date,Average temperature [°C],cloud_code,Global radiation mean [W/m2]
Lahti Laune,2004,1,1,15.0,2004-01-01,-10.4,,14
Lahti Laune,2004,1,2,15.0,2004-01-02,-16.0,,"14,2"
Lahti Laune,2004,1,3,14.8,2004-01-03,-20.9,,11
Lahti Laune,2004,1,4,15.1,2004-01-04,-8.8,,"5,2"
Lahti Laune,2004,1,5,17.3,2004-01-05,-6.9,,"6,1"
Lahti Laune,2004,1,6,17.7,2004-01-06,-8.3,,"4,6"
Lahti Laune,2004,1,7,18.0,2004-01-07,-3.9,,"3,9"
Lahti Laune,2004,1,8,18.3,2004-01-08,-5.5,,3
Lahti Laune,2004,1,9,18.3,2004-01-09,-6.6,,"4,6"
Lahti Laune,2004,1,10,17.9,2004-01-10,-10.7,,"6,2"
Lahti Laune,2004,1,11,18.2,2004-01-11,-10.0,,"3,2"
Lahti Laune,2004,1,12,18.9,2004-01-12,-7.2,,"3,3"
Lahti Laune,2004,1,13,19.9,2004-01-13,-1.2,,"3,4"
Lahti Laune,2004,1,14,21.5,2004-01-14,-4.1,,"4,1"
Lahti Laune,2004,1,15,23.0,2004-01-15,-5.1,,"8,9"
Lahti Laune,2004,1,16,23.0,2004-01-16,-8.4,,"12,8"
Lahti Laune,2004,1,17,23.7,2004-01-17,-6.7,,"4,8"
Lahti Laune,2004,1,18,24.0,2004-01-18,-5.4,,"13,8"
Lahti Laune,2004,1,19,24.0,2004-01-19,-10.5,,"8,9"
Lahti Laune,2004,1,20,23.5,2004-01-20,-15.4,,"22,6"
Lahti Laune,2004,1,21,24.1,2004-01-21,-16.6,,"24,1"
Lahti Laune,2004,1,22,24.6,2004-01-22,-13.9,,"23,6"
Lahti Laune,2004,1,23,24.1,2004-01-23,-15.5,,"17,8"
Lahti Laune,2004,1,24,24.9,2004-01-24,-2.3,,"8,7"
Lahti Laune,2004,1,25,24.9,2004-01-25,-7.7,,"18,5"
Lahti Laune,2004,1,26,24.8,2004-01-26,-7.8,,"10,6"
Lahti Laune,2004,1,27,24.6,2004-01-27,-6.0,,"5,5"
Lahti Laune,2004,1,28,26.8,2004-01-28,-5.9,,"11,5"
Lahti Laune,2004,1,29,28.2,2004-01-29,-4.8,,"16,3"
Lahti Laune,2004,1,30,29.0,2004-01-30,-5.3,,17
Lahti Laune,2004,1,31,31.1,2004-01-31,-5.1,,"7,1"
Lahti Laune,2004,2,1,42.6,2004-02-01,-1.5,,"12,4"
Lahti Laune,2004,2,2,44.7,2004-02-02,-5.4,,"21,3"
Lahti Laune,2004,2,3,43.7,2004-02-03,-3.4,,"20,7"
Lahti Laune,2004,2,4,41.4,2004-02-04,1.1,,"8,1"
Lahti Laune,2004,2,5,35.3,2004-02-05,-0.1,,"16,7"
Lahti Laune,2004,2,6,34.0,2004-02-06,-6.5,,"21,2"
Lahti Laune,2004,2,7,34.9,2004-02-07,-5.8,,"14,7"
Lahti Laune,2004,2,8,34.7,2004-02-08,-11.9,,"34,8"
Lahti Laune,2004,2,9,36.1,2004-02-09,-10.1,,"38,3"
Lahti Laune,2004,2,10,37.0,2004-02-10,-14.2,,"52,6"
Lahti Laune,2004,2,11,35.9,2004-02-11,-14.9,,"57,5"
Lahti Laune,2004,2,12,35.7,2004-02-12,-16.0,,"43,6"
Lahti Laune,2004,2,13,37.5,2004-02-13,-4.7,,"22,1"
Lahti Laune,2004,2,14,37.6,2004-02-14,0.8,,"28,6"
Lahti Laune,2004,2,15,37.0,2004-02-15,-0.8,,"34,3"
Lahti Laune,2004,2,16,37.0,2004-02-16,-4.1,,"61,8"
Lahti Laune,2004,2,17,41.8,2004-02-17,-6.1,,21
Lahti Laune,2004,2,18,43.6,2004-02-18,-12.0,,"69,4"
Lahti Laune,2004,2,19,43.0,2004-02-19,-14.4,,"60,5"
Lahti Laune,2004,2,20,42.9,2004-02-20,-0.6,,"47,2"
Lahti Laune,2004,2,21,41.9,2004-02-21,-0.2,,"48,8"
Lahti Laune,2004,2,22,42.0,2004-02-22,-3.0,,"35,9"
Lahti Laune,2004,2,23,42.2,2004-02-23,-6.5,,"39,7"
Lahti Laune,2004,2,24,42.4,2004-02-24,-7.3,,"78,2"
