"ï»¿""Observation station""",Year,Month,Day,Snow depth [cm],Date,Average temperature [Â°C],cloud_code,Global radiation mean [W/m2]
Pelkosenniemi parish,2014,1,1,30,2014-01-01,-8.0,8.0,"-0,5"
Pelkosenniemi parish,2014,1,2,30,2014-01-02,-6.6,8.0,"-0,2"
Pelkosenniemi parish,2014,1,3,30,2014-01-03,-3.9,8.0,"0,1"
Pelkosenniemi parish,2014,1,4,30,2014-01-04,-5.4,8.0,"-0,1"
Pelkosenniemi parish,2014,1,5,30,2014-01-05,-3.1,8.0,"-0,2"
Pelkosenniemi parish,2014,1,6,30,2014-01-06,-2.2,8.0,"-1,1"
Pelkosenniemi parish,2014,1,7,31,2014-01-07,-3.7,8.0,"-0,6"
Pelkosenniemi parish,2014,1,8,37,2014-01-08,-1.9,8.0,"-2,4"
Pelkosenniemi parish,2014,1,9,50,2014-01-09,-11.9,9.0,"0,3"
Pelkosenniemi parish,2014,1,10,47,2014-01-10,-17.2,8.0,"-0,1"
Pelkosenniemi parish,2014,1,11,47,2014-01-11,-18.1,0.0,"0,4"
Pelkosenniemi parish,2014,1,12,47,2014-01-12,-17.2,5.0,"-0,2"
Pelkosenniemi parish,2014,1,13,47,2014-01-13,-13.7,0.0,"-0,2"
Pelkosenniemi parish,2014,1,14,47,2014-01-14,-13.5,0.0,"-0,2"
Pelkosenniemi parish,2014,1,15,44,2014-01-15,-12.8,7.0,"-1,1"
Pelkosenniemi parish,2014,1,16,44,2014-01-16,-10.7,3.0,"-0,2"
Pelkosenniemi parish,2014,1,17,44,2014-01-17,-12.7,7.0,"-1,6"
Pelkosenniemi parish,2014,1,18,44,2014-01-18,-15.7,8.0,"-0,5"
Pelkosenniemi parish,2014,1,19,44,2014-01-19,-15.2,0.0,"1,5"
Pelkosenniemi parish,2014,1,20,44,2014-01-20,-14.9,0.0,"2,4"
Pelkosenniemi parish,2014,1,21,43,2014-01-21,-12.7,1.0,"-0,4"
Pelkosenniemi parish,2014,1,22,43,2014-01-22,-12.7,8.0,3
Pelkosenniemi parish,2014,1,23,44,2014-01-23,-13.8,8.0,"1,9"
Pelkosenniemi parish,2014,1,24,46,2014-01-24,-14.1,8.0,"3,1"
Pelkosenniemi parish,2014,1,25,46,2014-01-25,-13.0,8.0,"3,7"
Pelkosenniemi parish,2014,1,26,46,2014-01-26,-10.4,7.0,"2,6"
Pelkosenniemi parish,2014,1,27,46,2014-01-27,-12.2,8.0,"2,4"
Pelkosenniemi parish,2014,1,28,49,2014-01-28,-16.8,8.0,"5,3"
Pelkosenniemi parish,2014,1,29,49,2014-01-29,-16.1,7.0,"7,2"
Pelkosenniemi parish,2014,1,30,51,2014-01-30,-15.1,7.0,"8,9"
Pelkosenniemi parish,2014,1,31,51,2014-01-31,-20.1,7.0,"5,9"
Pelkosenniemi parish,2014,2,1,51,2014-02-01,-18.9,7.0,"1,5"
Pelkosenniemi parish,2014,2,2,52,2014-02-02,-12.5,8.0,"4,1"
Pelkosenniemi parish,2014,2,3,53,2014-02-03,-6.5,8.0,"2,9"
Pelkosenniemi parish,2014,2,4,52,2014-02-04,-3.2,8.0,"8,3"
Pelkosenniemi parish,2014,2,5,51,2014-02-05,-4.8,8.0,"4,8"
Pelkosenniemi parish,2014,2,6,51,2014-02-06,-6.8,8.0,"3,9"
Pelkosenniemi parish,2014,2,7,50,2014-02-07,-9.3,8.0,"4,5"
Pelkosenniemi parish,2014,2,8,50,2014-02-08,-6.1,7.0,"7,6"
