Observation station,Year,Month,Day,Time [Local time],Snow depth mean [cm],Date,Average temperature [°C],Cloud cover [1/8]
Turku Artukainen,2010.0,6.0,11.0,00:00,-1,2010-06-11,14.4,Clear (0/8)
Turku Artukainen,2010.0,6.0,12.0,00:00,-1,2010-06-12,12.3,Mostly cloudy (7/8)
Turku Artukainen,2010.0,6.0,13.0,00:00,-1,2010-06-13,12.4,Mostly cloudy (7/8)
Turku Artukainen,2010.0,6.0,14.0,00:00,-1,2010-06-14,12.0,Partly cloudy (5/8)
Turku Artukainen,2010.0,6.0,15.0,00:00,-1,2010-06-15,12.7,Cloudy (8/8)
Turku Artukainen,2010.0,6.0,16.0,00:00,-1,2010-06-16,12.1,Mostly cloudy (6/8)
Turku Artukainen,2010.0,6.0,17.0,00:00,-1,2010-06-17,13.7,Clear (0/8)
Turku Artukainen,2010.0,6.0,18.0,00:00,-1,2010-06-18,14.1,Mostly clear (3/8)
Turku Artukainen,2010.0,6.0,19.0,00:00,-1,2010-06-19,13.8,Mostly cloudy (7/8)
Turku Artukainen,2010.0,6.0,20.0,00:00,-1,2010-06-20,12.6,Cloudy (8/8)
Turku Artukainen,2010.0,6.0,21.0,00:00,-1,2010-06-21,13.1,Clear (0/8)
Turku Artukainen,2010.0,6.0,22.0,00:00,-1,2010-06-22,14.4,Mostly cloudy (7/8)
Turku Artukainen,2010.0,6.0,23.0,00:00,-1,2010-06-23,15.9,Partly cloudy (4/8)
Turku Artukainen,2010.0,6.0,24.0,00:00,-1,2010-06-24,16.5,Clear (0/8)
Turku Artukainen,2010.0,6.0,25.0,00:00,-1,2010-06-25,16.1,Clear (0/8)
Turku Artukainen,2010.0,6.0,26.0,00:00,-1,2010-06-26,16.0,Mostly clear (3/8)
Turku Artukainen,2010.0,6.0,27.0,00:00,-1,2010-06-27,14.1,Clear (0/8)
Turku Artukainen,2010.0,6.0,28.0,00:00,-1,2010-06-28,18.3,Clear (0/8)
Turku Artukainen,2010.0,6.0,29.0,00:00,-1,2010-06-29,17.8,Clear (0/8)
Turku Artukainen,2010.0,6.0,30.0,00:00,-1,2010-06-30,19.3,Clear (0/8)
Turku Artukainen,2010.0,7.0,1.0,00:00,-1,2010-07-01,17.8,Partly cloudy (5/8)
Turku Artukainen,2010.0,7.0,2.0,00:00,-1,2010-07-02,17.6,Mostly clear (2/8)
Turku Artukainen,2010.0,7.0,3.0,00:00,-1,2010-07-03,19.6,Clear (0/8)
Turku Artukainen,2010.0,7.0,4.0,00:00,-1,2010-07-04,20.1,Clear (0/8)
