Observation station,Year,Month,Day,Time [Local time],Snow depth [cm],Date,Average temperature [°C],Cloud cover [1/8]
Kuopio Maaninka,2004,1,1,2:00,21,2004-01-01,-21.0,Clear (0/8)
Kuopio Maaninka,2004,1,2,2:00,21,2004-01-02,-21.2,Clear (0/8)
Kuopio Maaninka,2004,1,2,2:00,21,2004-01-02,-21.2,Mostly clear (3/8)
Kuopio Maaninka,2004,1,2,2:00,21,2004-01-02,-21.2,Mostly cloudy (7/8)
Kuopio Maaninka,2004,1,2,2:00,21,2004-01-02,-21.2,Cloudiness cannot be determined (9/8)
Kuopio Maaninka,2004,1,2,2:00,21,2004-01-02,-21.2,Cloudy (8/8)
Kuopio Maaninka,2004,1,2,2:00,21,2004-01-02,-21.2,Clear (1/8)
Kuopio Maaninka,2004,1,2,2:00,21,2004-01-02,-21.2,Partly cloudy (5/8)
Kuopio Maaninka,2004,1,3,2:00,21,2004-01-03,-14.8,Mostly cloudy (7/8)
Kuopio Maaninka,2004,1,3,2:00,21,2004-01-03,-14.8,Cloudy (8/8)
Kuopio Maaninka,2004,1,3,2:00,21,2004-01-03,-14.8,Partly cloudy (5/8)
Kuopio Maaninka,2004,1,3,2:00,21,2004-01-03,-14.8,Mostly clear (3/8)
Kuopio Maaninka,2004,1,3,2:00,21,2004-01-03,-14.8,Clear (1/8)
Kuopio Maaninka,2004,1,3,2:00,21,2004-01-03,-14.8,Clear (0/8)
Kuopio Maaninka,2004,1,4,2:00,21,2004-01-04,-11.8,Partly cloudy (5/8)
Kuopio Maaninka,2004,1,4,2:00,21,2004-01-04,-11.8,Mostly cloudy (7/8)
Kuopio Maaninka,2004,1,4,2:00,21,2004-01-04,-11.8,Cloudy (8/8)
Kuopio Maaninka,2004,1,5,2:00,23,2004-01-05,-10.3,Mostly cloudy (7/8)
Kuopio Maaninka,2004,1,5,2:00,23,2004-01-05,-10.3,Cloudiness cannot be determined (9/8)
Kuopio Maaninka,2004,1,5,2:00,23,2004-01-05,-10.3,Cloudy (8/8)
Kuopio Maaninka,2004,1,5,2:00,23,2004-01-05,-10.3,Partly cloudy (5/8)
Kuopio Maaninka,2004,1,6,2:00,23,2004-01-06,-12.0,Cloudy (8/8)
Kuopio Maaninka,2004,1,6,2:00,23,2004-01-06,-12.0,Mostly cloudy (7/8)
Kuopio Maaninka,2004,1,6,2:00,23,2004-01-06,-12.0,Partly cloudy (5/8)
Kuopio Maaninka,2004,1,7,2:00,22,2004-01-07,-5.8,Mostly cloudy (7/8)
Kuopio Maaninka,2004,1,7,2:00,22,2004-01-07,-5.8,Cloudy (8/8)
Kuopio Maaninka,2004,1,7,2:00,22,2004-01-07,-5.8,Partly cloudy (5/8)
Kuopio Maaninka,2004,1,8,2:00,22,2004-01-08,-5.2,Mostly cloudy (7/8)
Kuopio Maaninka,2004,1,8,2:00,22,2004-01-08,-5.2,Cloudiness cannot be determined (9/8)
Kuopio Maaninka,2004,1,8,2:00,22,2004-01-08,-5.2,Cloudy (8/8)
Kuopio Maaninka,2004,1,9,2:00,23,2004-01-09,-5.4,Cloudy (8/8)
Kuopio Maaninka,2004,1,9,2:00,23,2004-01-09,-5.4,Mostly cloudy (7/8)
Kuopio Maaninka,2004,1,10,2:00,23,2004-01-10,-10.7,Cloudy (8/8)
Kuopio Maaninka,2004,1,10,2:00,23,2004-01-10,-10.7,Mostly cloudy (7/8)
Kuopio Maaninka,2004,1,11,2:00,23,2004-01-11,-15.9,Cloudy (8/8)
Kuopio Maaninka,2004,1,11,2:00,23,2004-01-11,-15.9,Mostly cloudy (7/8)
Kuopio Maaninka,2004,1,12,2:00,24,2004-01-12,-10.9,Mostly cloudy (7/8)
Kuopio Maaninka,2004,1,12,2:00,24,2004-01-12,-10.9,Partly cloudy (5/8)
Kuopio Maaninka,2004,1,12,2:00,24,2004-01-12,-10.9,Cloudy (8/8)
Kuopio Maaninka,2004,1,12,2:00,24,2004-01-12,-10.9,Mostly clear (3/8)
Kuopio Maaninka,2004,1,12,2:00,24,2004-01-12,-10.9,Clear (1/8)
Kuopio Maaninka,2004,1,13,2:00,24,2004-01-13,-5.5,Mostly cloudy (7/8)
Kuopio Maaninka,2004,1,13,2:00,24,2004-01-13,-5.5,Partly cloudy (5/8)
Kuopio Maaninka,2004,1,13,2:00,24,2004-01-13,-5.5,Cloudy (8/8)
Kuopio Maaninka,2004,1,13,2:00,24,2004-01-13,-5.5,Cloudiness cannot be determined (9/8)
Kuopio Maaninka,2004,1,14,2:00,26,2004-01-14,-5.3,Mostly cloudy (7/8)
Kuopio Maaninka,2004,1,14,2:00,26,2004-01-14,-5.3,Cloudiness cannot be determined (9/8)
Kuopio Maaninka,2004,1,14,2:00,26,2004-01-14,-5.3,Partly cloudy (5/8)
Kuopio Maaninka,2004,1,14,2:00,26,2004-01-14,-5.3,Cloudy (8/8)
Kuopio Maaninka,2004,1,15,2:00,25,2004-01-15,-7.7,Cloudy (8/8)
Kuopio Maaninka,2004,1,15,2:00,25,2004-01-15,-7.7,Mostly cloudy (7/8)
Kuopio Maaninka,2004,1,15,2:00,25,2004-01-15,-7.7,Cloudiness cannot be determined (9/8)
Kuopio Maaninka,2004,1,15,2:00,25,2004-01-15,-7.7,Partly cloudy (5/8)
Kuopio Maaninka,2004,1,16,2:00,27,2004-01-16,-11.4,Mostly cloudy (7/8)
Kuopio Maaninka,2004,1,16,2:00,27,2004-01-16,-11.4,Cloudiness cannot be determined (9/8)
Kuopio Maaninka,2004,1,16,2:00,27,2004-01-16,-11.4,Cloudy (8/8)
Kuopio Maaninka,2004,1,16,2:00,27,2004-01-16,-11.4,Partly cloudy (5/8)
Kuopio Maaninka,2004,1,16,2:00,27,2004-01-16,-11.4,Mostly clear (3/8)
Kuopio Maaninka,2004,1,16,2:00,27,2004-01-16,-11.4,Clear (0/8)
Kuopio Maaninka,2004,1,16,2:00,27,2004-01-16,-11.4,Clear (1/8)
Kuopio Maaninka,2004,1,16,2:00,27,2004-01-16,-11.4,Mostly cloudy (6/8)
Kuopio Maaninka,2004,1,17,2:00,31,2004-01-17,-8.2,Cloudiness cannot be determined (9/8)
Kuopio Maaninka,2004,1,17,2:00,31,2004-01-17,-8.2,Cloudy (8/8)
Kuopio Maaninka,2004,1,17,2:00,31,2004-01-17,-8.2,Mostly cloudy (7/8)
Kuopio Maaninka,2004,1,18,2:00,33,2004-01-18,-9.4,Cloudy (8/8)
Kuopio Maaninka,2004,1,18,2:00,33,2004-01-18,-9.4,Mostly cloudy (7/8)
